<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^RTS,D,19950901,000000,100,100,100,100,0,0
^RTS,D,19950904,000000,99.8,99.8,99.8,99.8,0,0
^RTS,D,19950905,000000,100.42,100.42,100.42,100.42,0,0
^RTS,D,19950906,000000,99.74,99.74,99.74,99.74,0,0
^RTS,D,19950907,000000,101.3,101.3,101.3,101.3,0,0
^RTS,D,19950908,000000,101.3,101.3,101.3,101.3,0,0
^RTS,D,19950911,000000,100.84,100.84,100.84,100.84,0,0
^RTS,D,19950912,000000,100.24,100.24,100.24,100.24,0,0
^RTS,D,19950913,000000,99.16,99.16,99.16,99.16,0,0
^RTS,D,19950914,000000,98.8,98.8,98.8,98.8,0,0
^RTS,D,19950915,000000,99.3,99.3,99.3,99.3,0,0
^RTS,D,19950918,000000,99.84,99.84,99.84,99.84,0,0
^RTS,D,19950919,000000,99.54,99.54,99.54,99.54,0,0
^RTS,D,19950920,000000,99.19,99.19,99.19,99.19,0,0
^RTS,D,19950921,000000,96.27,96.27,96.27,96.27,0,0
^RTS,D,19950922,000000,94.03,94.03,94.03,94.03,0,0
^RTS,D,19950925,000000,91.16,91.16,91.16,91.16,0,0
^RTS,D,19950926,000000,87.98,87.98,87.98,87.98,0,0
^RTS,D,19950927,000000,88.17,88.17,88.17,88.17,0,0
^RTS,D,19950928,000000,89.07,89.07,89.07,89.07,0,0
^RTS,D,19950929,000000,86.09,86.09,86.09,86.09,0,0
^RTS,D,19951002,000000,83,83,83,83,0,0
^RTS,D,19951003,000000,78.39,78.39,78.39,78.39,0,0
^RTS,D,19951004,000000,72.06,72.06,72.06,72.06,0,0
^RTS,D,19951005,000000,75.03,75.03,75.03,75.03,0,0
^RTS,D,19951006,000000,74.16,74.16,74.16,74.16,0,0
^RTS,D,19951009,000000,77.27,77.27,77.27,77.27,0,0
^RTS,D,19951010,000000,76.42,76.42,76.42,76.42,0,0
^RTS,D,19951011,000000,75.8,75.8,75.8,75.8,0,0
^RTS,D,19951012,000000,76.48,76.48,76.48,76.48,0,0
^RTS,D,19951013,000000,77.48,77.48,77.48,77.48,0,0
^RTS,D,19951016,000000,78.1,78.1,78.1,78.1,0,0
^RTS,D,19951017,000000,78.66,78.66,78.66,78.66,0,0
^RTS,D,19951018,000000,79,79,79,79,0,0
^RTS,D,19951019,000000,79.26,79.26,79.26,79.26,0,0
^RTS,D,19951020,000000,79.35,79.35,79.35,79.35,0,0
^RTS,D,19951023,000000,79.16,79.16,79.16,79.16,0,0
^RTS,D,19951024,000000,79.08,79.08,79.08,79.08,0,0
^RTS,D,19951025,000000,79.14,79.14,79.14,79.14,0,0
^RTS,D,19951026,000000,78.11,78.11,78.11,78.11,0,0
^RTS,D,19951027,000000,75.86,75.86,75.86,75.86,0,0
^RTS,D,19951030,000000,74.88,74.88,74.88,74.88,0,0
^RTS,D,19951031,000000,73.56,73.56,73.56,73.56,0,0
^RTS,D,19951101,000000,72.7,72.7,72.7,72.7,0,0
^RTS,D,19951102,000000,68.09,68.09,68.09,68.09,0,0
^RTS,D,19951103,000000,69.98,69.98,69.98,69.98,0,0
^RTS,D,19951104,000000,70.53,70.53,70.53,70.53,0,0
^RTS,D,19951108,000000,71.27,71.27,71.27,71.27,0,0
^RTS,D,19951109,000000,71.76,71.76,71.76,71.76,0,0
^RTS,D,19951110,000000,71.54,71.54,71.54,71.54,0,0
^RTS,D,19951113,000000,72.18,72.18,72.18,72.18,0,0
^RTS,D,19951114,000000,71.87,71.87,71.87,71.87,0,0
^RTS,D,19951115,000000,71.52,71.52,71.52,71.52,0,0
^RTS,D,19951116,000000,70.98,70.98,70.98,70.98,0,0
^RTS,D,19951117,000000,71.28,71.28,71.28,71.28,0,0
^RTS,D,19951120,000000,72.59,72.59,72.59,72.59,0,0
^RTS,D,19951121,000000,72.19,72.19,72.19,72.19,0,0
^RTS,D,19951122,000000,73.75,73.75,73.75,73.75,0,0
^RTS,D,19951123,000000,73.69,73.69,73.69,73.69,0,0
^RTS,D,19951124,000000,72.56,72.56,72.56,72.56,0,0
^RTS,D,19951127,000000,72.35,72.35,72.35,72.35,0,0
^RTS,D,19951128,000000,72.42,72.42,72.42,72.42,0,0
^RTS,D,19951129,000000,71.12,71.12,71.12,71.12,0,0
^RTS,D,19951130,000000,70.47,70.47,70.47,70.47,0,0
^RTS,D,19951201,000000,70.95,70.95,70.95,70.95,0,0
^RTS,D,19951204,000000,71.9,71.9,71.9,71.9,0,0
^RTS,D,19951205,000000,73.91,73.91,73.91,73.91,0,0
^RTS,D,19951206,000000,74.86,74.86,74.86,74.86,0,0
^RTS,D,19951207,000000,76.14,76.14,76.14,76.14,0,0
^RTS,D,19951208,000000,76.45,76.45,76.45,76.45,0,0
