<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BET,D,20001031,000000,528.94,528.94,528.94,528.94,0,0
^BET,D,20001101,000000,527.24,527.24,527.24,527.24,0,0
^BET,D,20001102,000000,528.65,528.65,528.65,528.65,0,0
^BET,D,20001103,000000,525.09,525.09,525.09,525.09,0,0
^BET,D,20001106,000000,521.2,521.2,521.2,521.2,0,0
^BET,D,20001107,000000,517.8,517.8,517.8,517.8,0,0
^BET,D,20001108,000000,527.24,527.24,527.24,527.24,0,0
^BET,D,20001109,000000,522.88,522.88,522.88,522.88,0,0
^BET,D,20001110,000000,526.94,526.94,526.94,526.94,0,0
^BET,D,20001113,000000,525.67,525.67,525.67,525.67,0,0
^BET,D,20001114,000000,523.44,523.44,523.44,523.44,0,0
^BET,D,20001115,000000,516.88,516.88,516.88,516.88,0,0
^BET,D,20001116,000000,516.94,516.94,516.94,516.94,0,0
^BET,D,20001117,000000,514.75,514.75,514.75,514.75,0,0
^BET,D,20001120,000000,518.46,518.46,518.46,518.46,0,0
^BET,D,20001121,000000,509.41,509.41,509.41,509.41,0,0
^BET,D,20001122,000000,506.83,506.83,506.83,506.83,0,0
^BET,D,20001123,000000,512.18,512.18,512.18,512.18,0,0
^BET,D,20001124,000000,516.37,516.37,516.37,516.37,0,0
^BET,D,20001127,000000,505.85,505.85,505.85,505.85,0,0
^BET,D,20001128,000000,505.02,505.02,505.02,505.02,0,0
^BET,D,20001129,000000,504.62,504.62,504.62,504.62,0,0
^BET,D,20001130,000000,506.22,506.22,506.22,506.22,0,0
^BET,D,20001204,000000,502.51,502.51,502.51,502.51,0,0
^BET,D,20001205,000000,501.18,501.18,501.18,501.18,0,0
^BET,D,20001206,000000,519.97,519.97,519.97,519.97,0,0
^BET,D,20001207,000000,518.06,518.06,518.06,518.06,0,0
^BET,D,20001208,000000,516.96,516.96,516.96,516.96,0,0
^BET,D,20001211,000000,529.55,529.55,529.55,529.55,0,0
^BET,D,20001212,000000,547.19,547.19,547.19,547.19,0,0
^BET,D,20001213,000000,543.89,543.89,543.89,543.89,0,0
^BET,D,20001214,000000,540.97,540.97,540.97,540.97,0,0
^BET,D,20001215,000000,531.65,531.65,531.65,531.65,0,0
^BET,D,20001218,000000,534.12,534.12,534.12,534.12,0,0
^BET,D,20001219,000000,543.19,543.19,543.19,543.19,0,0
^BET,D,20001220,000000,553.48,553.48,553.48,553.48,0,0
^BET,D,20001221,000000,543.15,543.15,543.15,543.15,0,0
