<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1INCH.V,D,20210108,000000,1.3,1.357,1.143,1.2,0,0
1INCH.V,D,20210109,000000,1.2,1.34,1.114,1.244,0,0
1INCH.V,D,20210110,000000,1.244,1.547,1.1,1.224,0,0
1INCH.V,D,20210111,000000,1.224,1.224,0.9543,1.127,0,0
1INCH.V,D,20210112,000000,1.127,1.21,1.049,1.117,0,0
1INCH.V,D,20210113,000000,1.117,1.325,1.054,1.274,0,0
1INCH.V,D,20210114,000000,1.274,1.403,1.265,1.329,0,0
1INCH.V,D,20210115,000000,1.329,1.534,1.161,1.348,0,0
1INCH.V,D,20210116,000000,1.348,1.832,1.342,1.644,0,0
1INCH.V,D,20210117,000000,1.644,2.166,1.581,2.012,0,0
1INCH.V,D,20210118,000000,2.012,2.077,1.763,1.88,0,0
1INCH.V,D,20210119,000000,1.88,2.097,1.811,1.903,0,0
1INCH.V,D,20210120,000000,1.903,1.979,1.639,1.846,0,0
1INCH.V,D,20210121,000000,1.846,1.897,1.541,1.589,0,0
1INCH.V,D,20210122,000000,1.589,1.85,1.417,1.761,0,0
1INCH.V,D,20210123,000000,1.761,1.999,1.715,1.949,0,0
1INCH.V,D,20210124,000000,1.949,2.498,1.888,2.491,0,0
1INCH.V,D,20210125,000000,2.491,2.713,2.302,2.358,0,0
1INCH.V,D,20210126,000000,2.358,2.686,2.18,2.686,0,0
1INCH.V,D,20210127,000000,2.686,2.733,2.233,2.518,0,0
1INCH.V,D,20210128,000000,2.518,3.368,2.44,3.122,0,0
1INCH.V,D,20210129,000000,3.122,3.5,2.85,3.341,0,0
1INCH.V,D,20210130,000000,3.341,4.676,3.187,4.565,0,0
1INCH.V,D,20210131,000000,4.565,5.555,4.468,4.94,0,0
1INCH.V,D,20210201,000000,4.94,5.339,4.364,5.053,0,0
1INCH.V,D,20210202,000000,5.053,5.108,4.503,4.665,0,0
1INCH.V,D,20210203,000000,4.665,5.274,4.46,5.037,0,0
1INCH.V,D,20210204,000000,5.037,6.1,4.59,5.598,0,0
1INCH.V,D,20210205,000000,5.598,6.325,5.497,5.824,0,0
1INCH.V,D,20210206,000000,5.824,5.947,5.11,5.247,0,0
1INCH.V,D,20210207,000000,5.247,5.3,4.317,4.974,0,0
1INCH.V,D,20210208,000000,4.974,5.492,4.699,5.347,0,0
1INCH.V,D,20210209,000000,5.347,5.369,4.835,5.054,0,0
1INCH.V,D,20210210,000000,5.054,5.439,4.516,4.854,0,0
1INCH.V,D,20210211,000000,4.854,5.99,4.694,5.65,0,0
1INCH.V,D,20210212,000000,5.65,5.817,5.024,5.263,0,0
1INCH.V,D,20210213,000000,5.263,6.051,5.112,5.694,0,0
1INCH.V,D,20210214,000000,5.694,6.273,4.75,5.272,0,0
1INCH.V,D,20210215,000000,5.272,5.525,4.2,4.95,0,0
1INCH.V,D,20210216,000000,4.95,5.194,4.56,4.774,0,0
1INCH.V,D,20210217,000000,4.774,5.073,4.362,4.85,0,0
1INCH.V,D,20210218,000000,4.85,5.177,4.7,4.775,0,0
1INCH.V,D,20210219,000000,4.775,4.88,4.5,4.591,0,0
1INCH.V,D,20210220,000000,4.591,5.868,4.338,5.164,0,0
1INCH.V,D,20210221,000000,5.164,5.488,4.924,5.06,0,0
1INCH.V,D,20210222,000000,5.06,5.06,3.65,4.554,0,0
1INCH.V,D,20210223,000000,4.554,4.555,2.914,3.688,0,0
1INCH.V,D,20210224,000000,3.688,4.15,3.39,3.639,0,0
1INCH.V,D,20210225,000000,3.639,4.65,3.519,3.906,0,0
1INCH.V,D,20210226,000000,3.906,5.182,3.77,4.509,0,0
1INCH.V,D,20210227,000000,4.509,4.877,4,4.157,0,0
1INCH.V,D,20210228,000000,4.157,4.161,3.519,3.817,0,0
1INCH.V,D,20210301,000000,3.817,4.23,3.792,4.103,0,0
1INCH.V,D,20210302,000000,4.103,4.374,3.81,4.022,0,0
1INCH.V,D,20210303,000000,4.022,4.317,3.998,4.07,0,0
1INCH.V,D,20210304,000000,4.07,4.235,3.755,3.848,0,0
1INCH.V,D,20210305,000000,3.848,3.848,3.52,3.73,0,0
1INCH.V,D,20210306,000000,3.73,3.856,3.613,3.856,0,0
1INCH.V,D,20210307,000000,3.856,4.107,3.783,4,0,0
1INCH.V,D,20210308,000000,4,4.459,3.476,4.311,0,0
1INCH.V,D,20210309,000000,4.311,5.251,4.214,4.433,0,0
1INCH.V,D,20210310,000000,4.433,4.525,3.52,4.005,0,0
1INCH.V,D,20210311,000000,3.991,4.143,3.907,4.003,0,0
1INCH.V,D,20210312,000000,4.003,4.14,3.696,3.803,0,0
1INCH.V,D,20210313,000000,3.803,4.229,3.634,4.101,0,0
1INCH.V,D,20210314,000000,4.101,4.217,3.835,3.841,0,0
1INCH.V,D,20210315,000000,3.841,4.377,3.733,3.938,0,0
1INCH.V,D,20210316,000000,3.938,4.638,3.792,4.556,0,0
1INCH.V,D,20210317,000000,4.556,5.006,4.255,5.006,0,0
1INCH.V,D,20210318,000000,5.006,5.094,4.546,4.567,0,0
1INCH.V,D,20210319,000000,4.567,5.241,4.468,4.89,0,0
1INCH.V,D,20210320,000000,4.89,5.195,4.683,4.692,0,0
1INCH.V,D,20210321,000000,4.692,4.793,4.51,4.67,0,0
1INCH.V,D,20210322,000000,4.67,4.847,4.212,4.3,0,0
1INCH.V,D,20210323,000000,4.3,4.467,4.002,4.088,0,0
1INCH.V,D,20210324,000000,4.088,4.34,3.629,3.724,0,0
1INCH.V,D,20210325,000000,3.724,3.871,3.573,3.667,0,0
1INCH.V,D,20210326,000000,3.667,4.035,3.666,4.003,0,0
1INCH.V,D,20210327,000000,4.003,4.064,3.803,3.997,0,0
1INCH.V,D,20210328,000000,3.997,4.227,3.938,4.085,0,0
1INCH.V,D,20210329,000000,4.085,4.628,4.025,4.599,0,0
1INCH.V,D,20210330,000000,4.599,4.687,4.435,4.507,0,0
1INCH.V,D,20210331,000000,4.507,4.548,4.176,4.34,0,0
1INCH.V,D,20210401,000000,4.34,4.513,4.264,4.448,0,0
1INCH.V,D,20210402,000000,4.448,4.696,4.389,4.672,0,0
1INCH.V,D,20210403,000000,4.672,4.798,4.237,4.246,0,0
1INCH.V,D,20210404,000000,4.246,4.699,4.158,4.569,0,0
1INCH.V,D,20210405,000000,4.569,5.367,4.423,5.306,0,0
1INCH.V,D,20210406,000000,5.306,5.827,5.179,5.18,0,0
1INCH.V,D,20210407,000000,5.18,5.869,4.55,5.56,0,0
1INCH.V,D,20210408,000000,5.56,6.556,5.47,6.197,0,0
1INCH.V,D,20210409,000000,6.197,6.666,5.944,6.101,0,0
1INCH.V,D,20210410,000000,6.101,6.11,5.535,5.736,0,0
1INCH.V,D,20210411,000000,5.736,5.942,5.544,5.673,0,0
1INCH.V,D,20210412,000000,5.673,5.83,5.272,5.496,0,0
1INCH.V,D,20210413,000000,5.496,5.799,5.42,5.61,0,0
1INCH.V,D,20210414,000000,5.61,6.012,5.457,5.879,0,0
1INCH.V,D,20210415,000000,5.879,6.4,5.778,6.09,0,0
1INCH.V,D,20210416,000000,6.09,6.144,5.606,5.82,0,0
1INCH.V,D,20210417,000000,5.82,6.532,5.811,6.479,0,0
1INCH.V,D,20210418,000000,6.479,6.656,4.636,5.292,0,0
1INCH.V,D,20210419,000000,5.292,5.463,4.722,4.852,0,0
