<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PUNDIX.V,D,20220514,000000,0.456223,0.552781,0.430224,0.468297,1744485.7038983,0
PUNDIX.V,D,20220515,000000,0.467298,0.504394,0.467298,0.501347,403614.62523394,0
PUNDIX.V,D,20220516,000000,0.504394,0.559328,0.498351,0.529311,749921.34393957,0
PUNDIX.V,D,20220517,000000,0.523319,0.527314,0.498301,0.520375,148677.02025131,0
PUNDIX.V,D,20220518,000000,0.523371,0.539298,0.484321,0.484321,152354.01757928,0
PUNDIX.V,D,20220519,000000,0.484321,0.49136,0.455407,0.482517,293502.56639204,0
PUNDIX.V,D,20220520,000000,0.481566,0.500599,0.467392,0.478425,146360.64147333,0
PUNDIX.V,D,20220521,000000,0.478425,0.49136,0.469436,0.487366,102545.64601656,0
PUNDIX.V,D,20220522,000000,0.488315,0.542348,0.487366,0.518377,329663.6753857,0
PUNDIX.V,D,20220523,000000,0.519376,0.55944,0.515381,0.520323,1049383.5137791,0
PUNDIX.V,D,20220524,000000,0.519376,0.552392,0.475429,0.504344,474973.42382145,0
PUNDIX.V,D,20220525,000000,0.505342,0.513383,0.485465,0.496404,98991.705833247,0
PUNDIX.V,D,20220526,000000,0.498451,0.506442,0.448506,0.475524,175426.72845461,0
PUNDIX.V,D,20220527,000000,0.478473,0.488511,0.447552,0.461492,769950.36667856,0
PUNDIX.V,D,20220528,000000,0.461469,0.486352,0.458376,0.473445,423397.84851147,0
PUNDIX.V,D,20220529,000000,0.473436,0.50343,0.465492,0.483482,539166.37225793,0
PUNDIX.V,D,20220530,000000,0.483497,0.520635,0.483497,0.520635,158324.37327853,0
PUNDIX.V,D,20220531,000000,0.519636,0.52763,0.505595,0.516586,153521.66518736,0
PUNDIX.V,D,20220601,000000,0.516607,0.630413,0.501498,0.51054,1696031.0295657,0
PUNDIX.V,D,20220602,000000,0.512538,0.524528,0.498501,0.519532,158484.36699363,0
PUNDIX.V,D,20220603,000000,0.519532,0.526599,0.498541,0.510555,100179.93337929,0
PUNDIX.V,D,20220604,000000,0.511555,0.519506,0.498476,0.509612,2922071.2337155,0
PUNDIX.V,D,20220605,000000,0.510617,0.572513,0.504591,0.527504,5245139.7624163,0
PUNDIX.V,D,20220606,000000,0.527504,0.644445,0.527498,0.557526,11450962.093589,0
PUNDIX.V,D,20220607,000000,0.55853,0.563549,0.507568,0.537559,9751659.2993192,0
PUNDIX.V,D,20220608,000000,0.538569,0.540589,0.511698,0.526657,3692645.2413201,0
PUNDIX.V,D,20220609,000000,0.527657,0.527662,0.513594,0.517565,3232601.4711532,0
PUNDIX.V,D,20220610,000000,0.516561,0.521645,0.475476,0.481383,5882583.5677137,0
PUNDIX.V,D,20220611,000000,0.481383,0.510412,0.444453,0.454486,1204221.6114289,0
PUNDIX.V,D,20220612,000000,0.456488,0.46047,0.411419,0.424477,924262.37179643,0
PUNDIX.V,D,20220613,000000,0.42248,0.439441,0.325511,0.350516,8626346.1283865,0
PUNDIX.V,D,20220614,000000,0.346511,0.356479,0.305553,0.326608,23663320.176572,0
PUNDIX.V,D,20220615,000000,0.328608,0.354609,0.302455,0.350473,11372103.697276,0
PUNDIX.V,D,20220616,000000,0.3545,0.3845,0.337,0.341,1092837.5061331,0
PUNDIX.V,D,20220617,000000,0.330839,0.356607,0.328539,0.350579,2529219.6487224,0
PUNDIX.V,D,20220618,000000,0.34958,0.359575,0.30247,0.315485,17071886.938645,0
