<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI.V,D,20200917,000000,3.056,3.961,2.452,3.473,0,0
UNI.V,D,20200918,000000,3.473,8.579,3.232,6.908,0,0
UNI.V,D,20200919,000000,6.908,7.5,5.232,5.73,0,0
UNI.V,D,20200920,000000,5.73,6.092,4.656,5.227,0,0
UNI.V,D,20200921,000000,5.227,5.652,4.084,4.254,0,0
UNI.V,D,20200922,000000,4.254,4.559,3.687,3.909,0,0
UNI.V,D,20200923,000000,3.909,5.352,3.905,4.346,0,0
UNI.V,D,20200924,000000,4.346,5.293,4.264,5.145,0,0
UNI.V,D,20200925,000000,5.145,5.558,4.766,4.919,0,0
UNI.V,D,20200926,000000,4.919,4.999,4.684,4.88,0,0
UNI.V,D,20200927,000000,4.88,5.223,4.709,4.856,0,0
UNI.V,D,20200928,000000,4.856,4.955,4.184,4.254,0,0
UNI.V,D,20200929,000000,4.254,4.417,4.124,4.391,0,0
UNI.V,D,20200930,000000,4.391,4.391,3.954,4.159,0,0
UNI.V,D,20201001,000000,4.159,4.519,3.908,4.254,0,0
UNI.V,D,20201002,000000,4.254,4.254,3.573,3.894,0,0
UNI.V,D,20201003,000000,3.894,4.123,3.834,3.909,0,0
UNI.V,D,20201004,000000,3.909,3.949,3.614,3.728,0,0
UNI.V,D,20201005,000000,3.728,3.804,3.185,3.321,0,0
UNI.V,D,20201006,000000,3.321,3.344,2.633,2.716,0,0
UNI.V,D,20201007,000000,2.716,3.003,2.482,2.966,0,0
UNI.V,D,20201008,000000,2.966,3.468,2.646,3.353,0,0
UNI.V,D,20201009,000000,3.353,3.604,3.178,3.386,0,0
UNI.V,D,20201010,000000,3.386,3.662,3.269,3.302,0,0
UNI.V,D,20201011,000000,3.302,3.454,3.181,3.366,0,0
UNI.V,D,20201012,000000,3.366,3.603,3.285,3.463,0,0
UNI.V,D,20201013,000000,3.463,3.503,3.296,3.356,0,0
UNI.V,D,20201014,000000,3.356,3.443,2.973,3.115,0,0
UNI.V,D,20201015,000000,3.115,3.163,2.918,3.082,0,0
UNI.V,D,20201016,000000,3.082,3.383,2.89,3.044,0,0
UNI.V,D,20201017,000000,3.044,3.124,2.973,3.063,0,0
UNI.V,D,20201018,000000,3.063,3.294,3.05,3.284,0,0
UNI.V,D,20201019,000000,3.284,3.291,3.113,3.173,0,0
UNI.V,D,20201020,000000,3.173,3.194,2.814,2.861,0,0
UNI.V,D,20201021,000000,2.861,3.08,2.85,2.941,0,0
UNI.V,D,20201022,000000,2.941,3.141,2.926,3.042,0,0
UNI.V,D,20201023,000000,3.042,3.121,2.966,3.015,0,0
UNI.V,D,20201024,000000,3.015,3.081,2.934,2.942,0,0
UNI.V,D,20201025,000000,2.942,2.965,2.723,2.774,0,0
UNI.V,D,20201026,000000,2.774,2.877,2.526,2.714,0,0
UNI.V,D,20201027,000000,2.714,2.905,2.701,2.809,0,0
UNI.V,D,20201028,000000,2.809,2.854,2.595,2.665,0,0
UNI.V,D,20201029,000000,2.665,2.74,2.486,2.544,0,0
UNI.V,D,20201030,000000,2.544,2.567,2.256,2.418,0,0
UNI.V,D,20201031,000000,2.418,2.418,2.239,2.265,0,0
UNI.V,D,20201101,000000,2.265,2.448,2.219,2.377,0,0
UNI.V,D,20201102,000000,2.377,2.457,2.228,2.254,0,0
UNI.V,D,20201103,000000,2.254,2.282,2.061,2.15,0,0
UNI.V,D,20201104,000000,2.15,2.177,1.887,1.946,0,0
UNI.V,D,20201105,000000,1.946,2.405,1.768,2.189,0,0
UNI.V,D,20201106,000000,2.189,2.686,2.175,2.571,0,0
UNI.V,D,20201107,000000,2.571,3.019,2.448,2.486,0,0
UNI.V,D,20201108,000000,2.486,2.919,2.44,2.869,0,0
UNI.V,D,20201109,000000,2.869,2.879,2.58,2.678,0,0
UNI.V,D,20201110,000000,2.678,3.172,2.629,3.075,0,0
UNI.V,D,20201111,000000,3.075,3.219,2.891,2.936,0,0
UNI.V,D,20201112,000000,2.936,3.138,2.84,2.96,0,0
UNI.V,D,20201113,000000,2.96,3.969,2.937,3.853,0,0
UNI.V,D,20201114,000000,3.853,3.96,3.516,3.808,0,0
UNI.V,D,20201115,000000,3.808,4.255,3.615,3.851,0,0
UNI.V,D,20201116,000000,3.851,3.937,3.447,3.566,0,0
UNI.V,D,20201117,000000,3.566,3.858,3.488,3.816,0,0
UNI.V,D,20201118,000000,3.816,3.849,3.275,3.463,0,0
UNI.V,D,20201119,000000,3.463,3.896,3.233,3.753,0,0
UNI.V,D,20201120,000000,3.753,4.087,3.677,3.854,0,0
UNI.V,D,20201121,000000,3.854,3.932,3.593,3.833,0,0
UNI.V,D,20201122,000000,3.833,3.944,3.439,3.68,0,0
UNI.V,D,20201123,000000,3.68,4.223,3.633,4.19,0,0
UNI.V,D,20201124,000000,4.19,4.491,3.951,4.081,0,0
UNI.V,D,20201125,000000,4.081,4.214,3.543,3.678,0,0
UNI.V,D,20201126,000000,3.678,3.78,3.113,3.437,0,0
UNI.V,D,20201127,000000,3.437,3.54,3.168,3.311,0,0
UNI.V,D,20201128,000000,3.311,3.536,3.258,3.465,0,0
UNI.V,D,20201129,000000,3.465,3.578,3.362,3.555,0,0
UNI.V,D,20201130,000000,3.555,3.809,3.523,3.778,0,0
UNI.V,D,20201201,000000,3.778,3.985,3.461,3.553,0,0
UNI.V,D,20201202,000000,3.553,4.173,3.503,3.948,0,0
UNI.V,D,20201203,000000,3.948,4.025,3.804,3.886,0,0
UNI.V,D,20201204,000000,3.886,3.92,3.499,3.518,0,0
UNI.V,D,20201205,000000,3.518,3.701,3.451,3.685,0,0
UNI.V,D,20201206,000000,3.685,3.793,3.511,3.652,0,0
UNI.V,D,20201207,000000,3.652,3.881,3.567,3.761,0,0
UNI.V,D,20201208,000000,3.761,3.762,3.28,3.298,0,0
UNI.V,D,20201209,000000,3.298,3.392,3.118,3.354,0,0
UNI.V,D,20201210,000000,3.354,3.371,3.191,3.238,0,0
UNI.V,D,20201211,000000,3.238,3.247,2.915,2.962,0,0
UNI.V,D,20201212,000000,2.962,3.18,2.962,3.127,0,0
UNI.V,D,20201213,000000,3.127,3.364,3.072,3.342,0,0
UNI.V,D,20201214,000000,3.342,3.536,3.24,3.48,0,0
UNI.V,D,20201215,000000,3.48,3.521,3.312,3.331,0,0
UNI.V,D,20201216,000000,3.331,3.541,3.244,3.535,0,0
UNI.V,D,20201217,000000,3.535,3.996,3.437,3.694,0,0
UNI.V,D,20201218,000000,3.694,3.858,3.553,3.768,0,0
UNI.V,D,20201219,000000,3.768,4.237,3.706,3.963,0,0
UNI.V,D,20201220,000000,3.963,4.021,3.707,3.761,0,0
UNI.V,D,20201221,000000,3.761,3.921,3.418,3.51,0,0
UNI.V,D,20201222,000000,3.51,3.777,3.285,3.732,0,0
UNI.V,D,20201223,000000,3.732,3.778,3.045,3.308,0,0
UNI.V,D,20201224,000000,3.308,3.531,3.157,3.523,0,0
UNI.V,D,20201225,000000,3.523,3.646,3.371,3.503,0,0
UNI.V,D,20201226,000000,3.503,3.601,3.363,3.412,0,0
UNI.V,D,20201227,000000,3.412,3.799,3.361,3.6,0,0
UNI.V,D,20201228,000000,3.6,3.949,3.565,3.726,0,0
UNI.V,D,20201229,000000,3.726,3.841,3.502,3.667,0,0
UNI.V,D,20201230,000000,3.667,4.377,3.635,4.151,0,0
UNI.V,D,20201231,000000,4.151,5.293,3.945,5.159,0,0
UNI.V,D,20210101,000000,5.159,5.276,4.623,4.744,0,0
UNI.V,D,20210102,000000,4.744,5.178,4.489,4.861,0,0
UNI.V,D,20210103,000000,4.861,5.631,4.678,5.489,0,0
UNI.V,D,20210104,000000,5.489,6.184,4.97,5.423,0,0
UNI.V,D,20210105,000000,5.423,6.563,5.209,6.263,0,0
UNI.V,D,20210106,000000,6.263,6.593,6.022,6.42,0,0
UNI.V,D,20210107,000000,6.42,6.806,6.056,6.257,0,0
UNI.V,D,20210108,000000,6.257,6.365,5.518,5.879,0,0
UNI.V,D,20210109,000000,5.879,6.362,5.687,6.239,0,0
UNI.V,D,20210110,000000,6.239,6.576,5.571,5.984,0,0
UNI.V,D,20210111,000000,5.984,6.003,4.457,5.245,0,0
UNI.V,D,20210112,000000,5.245,5.82,4.978,5.59,0,0
UNI.V,D,20210113,000000,5.59,6.379,5.267,6.338,0,0
UNI.V,D,20210114,000000,6.338,7.122,6.177,6.951,0,0
UNI.V,D,20210115,000000,6.951,7.478,6.424,7.375,0,0
UNI.V,D,20210116,000000,7.375,9.371,7.197,8.412,0,0
UNI.V,D,20210117,000000,8.412,9.174,8.08,8.684,0,0
UNI.V,D,20210118,000000,8.684,9.871,8.318,9.2,0,0
UNI.V,D,20210119,000000,9.2,9.659,8.483,8.596,0,0
UNI.V,D,20210120,000000,8.596,9.049,7.666,8.982,0,0
UNI.V,D,20210121,000000,8.982,9.028,7.336,7.588,0,0
UNI.V,D,20210122,000000,7.588,9.025,7.084,8.705,0,0
UNI.V,D,20210123,000000,8.705,9.536,8.506,9.345,0,0
UNI.V,D,20210124,000000,9.345,12.29,9.182,12.04,0,0
UNI.V,D,20210125,000000,12.04,12.89,10.89,11.31,0,0
UNI.V,D,20210126,000000,11.31,14.24,11.2,13.91,0,0
UNI.V,D,20210127,000000,13.91,15.52,13.1,14.79,0,0
UNI.V,D,20210128,000000,14.79,15.41,13.57,14.13,0,0
UNI.V,D,20210129,000000,14.13,15.76,14.09,15.68,0,0
UNI.V,D,20210130,000000,15.68,19.63,15.11,19.56,0,0
UNI.V,D,20210131,000000,19.56,20.52,17.45,17.74,0,0
UNI.V,D,20210201,000000,17.74,20.76,16.7,20.49,0,0
UNI.V,D,20210202,000000,20.49,20.6,18.09,19.01,0,0
UNI.V,D,20210203,000000,19.01,20.51,18.74,19.71,0,0
UNI.V,D,20210204,000000,19.71,21.57,19.45,20.14,0,0
UNI.V,D,20210205,000000,20.14,22.34,19.74,21.16,0,0
UNI.V,D,20210206,000000,21.16,21.67,19.25,19.26,0,0
UNI.V,D,20210207,000000,19.26,19.68,17.18,18.68,0,0
UNI.V,D,20210208,000000,18.68,20.16,18.15,19.34,0,0
UNI.V,D,20210209,000000,19.34,19.91,18.9,19.52,0,0
UNI.V,D,20210210,000000,19.52,22.41,19.52,20.72,0,0
UNI.V,D,20210211,000000,20.72,22,20.15,21.46,0,0
UNI.V,D,20210212,000000,21.46,23.82,21.28,22.7,0,0
UNI.V,D,20210213,000000,22.7,23.54,21.33,21.79,0,0
UNI.V,D,20210214,000000,21.79,22.61,20.73,20.87,0,0
UNI.V,D,20210215,000000,20.87,21.53,17.59,20.08,0,0
UNI.V,D,20210216,000000,20.08,21.31,19.39,20.48,0,0
UNI.V,D,20210217,000000,20.48,21.78,19.19,21.5,0,0
UNI.V,D,20210218,000000,21.5,22.24,20.62,21.15,0,0
UNI.V,D,20210219,000000,21.15,21.53,19.36,20.07,0,0
UNI.V,D,20210220,000000,20.07,32.87,19.51,28.78,0,0
UNI.V,D,20210221,000000,28.78,32.08,27.82,28.8,0,0
UNI.V,D,20210222,000000,28.8,29.13,22.45,27.71,0,0
UNI.V,D,20210223,000000,27.71,27.77,18.66,24.61,0,0
UNI.V,D,20210224,000000,24.61,27.36,23.05,25.28,0,0
UNI.V,D,20210225,000000,25.28,26.98,23.14,23.48,0,0
UNI.V,D,20210226,000000,23.48,25.17,21.05,23.1,0,0
UNI.V,D,20210227,000000,23.1,24.82,22.36,23.56,0,0
UNI.V,D,20210228,000000,23.56,24.15,20.56,22.24,0,0
UNI.V,D,20210301,000000,22.24,25.72,22.06,25.71,0,0
UNI.V,D,20210302,000000,25.71,27.43,24.56,25.58,0,0
UNI.V,D,20210303,000000,25.58,27.58,25.28,25.36,0,0
UNI.V,D,20210304,000000,25.36,29.73,24.73,28.26,0,0
UNI.V,D,20210305,000000,28.26,28.78,25.88,28.32,0,0
UNI.V,D,20210306,000000,28.32,29.02,27.18,28.51,0,0
UNI.V,D,20210307,000000,28.51,34.83,28.47,34.27,0,0
UNI.V,D,20210308,000000,34.27,34.91,32.1,33.21,0,0
UNI.V,D,20210309,000000,33.21,34.79,32.39,32.91,0,0
UNI.V,D,20210310,000000,32.91,33.54,30.38,30.93,0,0
UNI.V,D,20210311,000000,30.93,31.81,29.59,31.03,0,0
UNI.V,D,20210312,000000,31.03,31.95,29.42,30.92,0,0
UNI.V,D,20210313,000000,30.92,33.29,30.2,32.46,0,0
UNI.V,D,20210314,000000,32.46,33.77,30.66,30.67,0,0
UNI.V,D,20210315,000000,30.67,31.53,29.58,29.78,0,0
UNI.V,D,20210316,000000,29.78,30.02,28.05,30.02,0,0
UNI.V,D,20210317,000000,30.02,31.63,29.47,31.28,0,0
UNI.V,D,20210318,000000,31.28,31.58,29.73,29.98,0,0
UNI.V,D,20210319,000000,29.98,34.19,29.47,33.27,0,0
UNI.V,D,20210320,000000,33.27,35.14,31.86,32.04,0,0
UNI.V,D,20210321,000000,32.04,33.3,31.46,32.91,0,0
UNI.V,D,20210322,000000,32.91,35.82,31.77,32.82,0,0
UNI.V,D,20210323,000000,32.82,36.13,30.3,31.02,0,0
UNI.V,D,20210324,000000,31.02,31.87,26.23,27.37,0,0
UNI.V,D,20210325,000000,27.37,28.05,25.7,26.51,0,0
UNI.V,D,20210326,000000,26.51,29.02,26.48,28.92,0,0
UNI.V,D,20210327,000000,28.92,29.45,27.83,28.17,0,0
UNI.V,D,20210328,000000,28.17,28.85,27.37,27.85,0,0
UNI.V,D,20210329,000000,27.85,29.47,27.52,29.02,0,0
UNI.V,D,20210330,000000,29.02,29.28,28.33,28.58,0,0
UNI.V,D,20210331,000000,28.58,29.01,27.14,28.05,0,0
UNI.V,D,20210401,000000,28.05,30.25,28.04,28.67,0,0
UNI.V,D,20210402,000000,28.67,30.25,28.66,30.2,0,0
UNI.V,D,20210403,000000,30.2,32.45,29.35,29.38,0,0
UNI.V,D,20210404,000000,29.38,31.5,28.98,30.93,0,0
UNI.V,D,20210405,000000,30.93,31.2,29.67,30.83,0,0
UNI.V,D,20210406,000000,30.83,32.42,30.29,31.23,0,0
UNI.V,D,20210407,000000,31.23,31.38,27.83,28.55,0,0
UNI.V,D,20210408,000000,28.55,30.29,28.36,30.2,0,0
UNI.V,D,20210409,000000,30.2,30.57,29.31,29.51,0,0
UNI.V,D,20210410,000000,29.51,30.81,29.18,29.77,0,0
UNI.V,D,20210411,000000,29.77,30.65,29.24,29.91,0,0
UNI.V,D,20210412,000000,29.91,38.1,29.57,36.68,0,0
UNI.V,D,20210413,000000,36.68,37.11,34.22,35.41,0,0
UNI.V,D,20210414,000000,35.41,36.83,33.51,36.05,0,0
UNI.V,D,20210415,000000,36.05,39.47,35.66,37.77,0,0
UNI.V,D,20210416,000000,37.77,38.16,34.36,36.19,0,0
UNI.V,D,20210417,000000,36.19,37.52,34.65,34.75,0,0
UNI.V,D,20210418,000000,34.75,35.13,27.94,31.67,0,0
UNI.V,D,20210419,000000,31.67,32.7,29.66,31.42,0,0
UNI.V,D,20210420,000000,31.42,32.22,28.32,31.95,0,0
UNI.V,D,20210421,000000,31.95,36.26,30.55,33.42,0,0
UNI.V,D,20210422,000000,33.42,38.39,32.72,33.99,0,0
UNI.V,D,20210423,000000,33.99,34.93,29.7,32.98,0,0
UNI.V,D,20210424,000000,32.98,33.01,29.99,30.2,0,0
UNI.V,D,20210425,000000,30.2,34.87,30.06,34.33,0,0
UNI.V,D,20210426,000000,34.33,38.51,34.17,38.2,0,0
UNI.V,D,20210427,000000,38.2,40.61,37.38,39.68,0,0
UNI.V,D,20210428,000000,39.68,42.97,37.96,42.9,0,0
UNI.V,D,20210429,000000,42.9,43.93,39.7,41.06,0,0
UNI.V,D,20210430,000000,41.06,41.35,39.14,40.64,0,0
UNI.V,D,20210501,000000,40.64,41.27,39.21,40.32,0,0
UNI.V,D,20210502,000000,40.32,43.28,39.36,42.57,0,0
UNI.V,D,20210503,000000,42.57,44.98,41.25,42.28,0,0
UNI.V,D,20210504,000000,42.28,44.63,40.07,43.11,0,0
UNI.V,D,20210505,000000,43.11,44.81,41.59,42.47,0,0
UNI.V,D,20210506,000000,42.47,42.57,39.84,40.26,0,0
UNI.V,D,20210507,000000,40.26,41.31,38.35,39.77,0,0
UNI.V,D,20210508,000000,39.77,41.29,39.22,40.5,0,0
UNI.V,D,20210509,000000,40.5,40.75,38.18,39.46,0,0
UNI.V,D,20210510,000000,39.46,41.19,34.49,36.42,0,0
UNI.V,D,20210511,000000,36.42,38.57,35.52,38.56,0,0
UNI.V,D,20210512,000000,38.56,43.94,36.6,36.77,0,0
UNI.V,D,20210513,000000,36.77,40.3,35.12,37.35,0,0
UNI.V,D,20210514,000000,37.35,40.9,37.18,40.44,0,0
UNI.V,D,20210515,000000,40.44,42.42,36.59,36.63,0,0
UNI.V,D,20210516,000000,36.63,39.48,34.61,36.6,0,0
UNI.V,D,20210517,000000,36.6,36.6,31.91,33.25,0,0
UNI.V,D,20210518,000000,33.25,36.57,33.04,35.06,0,0
UNI.V,D,20210519,000000,35.06,35.55,18.08,23.22,0,0
UNI.V,D,20210520,000000,23.22,28.45,20.11,26.34,0,0
UNI.V,D,20210521,000000,26.34,27.95,18.96,21.96,0,0
UNI.V,D,20210522,000000,21.96,22.41,18.55,20.39,0,0
UNI.V,D,20210523,000000,20.39,21.33,13.08,16.74,0,0
UNI.V,D,20210524,000000,16.74,25.17,16.54,24.64,0,0
UNI.V,D,20210525,000000,24.64,26.7,21.65,25.14,0,0
UNI.V,D,20210526,000000,25.14,29.42,24.61,29.42,0,0
