<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POWR.V,D,20220514,000000,0.251472,0.256312,0.212567,0.23944,3589980.8431132,0
POWR.V,D,20220515,000000,0.238642,0.255293,0.238642,0.254894,1792334.6902376,0
POWR.V,D,20220516,000000,0.255992,0.262385,0.235294,0.24588,990478.62497135,0
POWR.V,D,20220517,000000,0.247178,0.257591,0.24568,0.257591,495689.6369149,0
POWR.V,D,20220518,000000,0.258264,0.294188,0.249475,0.259263,3698440.3030109,0
POWR.V,D,20220519,000000,0.257639,0.262758,0.227327,0.250674,1967204.9361083,0
POWR.V,D,20220520,000000,0.24985,0.260691,0.239788,0.246604,1797275.0997307,0
POWR.V,D,20220521,000000,0.246604,0.254269,0.24121,0.250774,2027012.5440614,0
POWR.V,D,20220522,000000,0.250474,0.28403,0.249775,0.27467,7049093.2773728,0
POWR.V,D,20220523,000000,0.27457,0.293876,0.26648,0.271274,5378284.2288224,0
POWR.V,D,20220524,000000,0.270475,0.2727,0.241809,0.261859,3537745.1884699,0
POWR.V,D,20220525,000000,0.262033,0.269349,0.252696,0.266507,1406104.0356415,0
POWR.V,D,20220526,000000,0.26638,0.269803,0.238014,0.252847,1698188.983757,0
POWR.V,D,20220527,000000,0.253846,0.264335,0.240635,0.250349,2470299.0072104,0
POWR.V,D,20220528,000000,0.249315,0.255155,0.245905,0.253006,597167.02005712,0
POWR.V,D,20220529,000000,0.252699,0.257219,0.246955,0.256215,612665.59324258,0
POWR.V,D,20220530,000000,0.256315,0.280376,0.255621,0.279504,1140291.1402736,0
POWR.V,D,20220531,000000,0.279104,0.284073,0.270084,0.279476,898471.90289357,0
POWR.V,D,20220601,000000,0.27969,0.334632,0.268059,0.268059,5472978.73344,0
POWR.V,D,20220602,000000,0.267832,0.315316,0.267832,0.295734,4388194.1128429,0
POWR.V,D,20220603,000000,0.294635,0.304925,0.272843,0.282054,1486661.0205868,0
POWR.V,D,20220604,000000,0.282554,0.294153,0.275608,0.279388,9577722.5263729,0
POWR.V,D,20220605,000000,0.279693,0.324724,0.273678,0.292924,22711668.950009,0
POWR.V,D,20220606,000000,0.293524,0.393669,0.288229,0.320531,46173759.35961,0
POWR.V,D,20220607,000000,0.320627,0.33252,0.290465,0.305949,29690307.832904,0
POWR.V,D,20220608,000000,0.305758,0.307363,0.284618,0.290311,19557302.50386,0
POWR.V,D,20220609,000000,0.290411,0.29147,0.280381,0.282562,12031367.916409,0
POWR.V,D,20220610,000000,0.28196,0.315532,0.275477,0.287235,23599582.536968,0
POWR.V,D,20220611,000000,0.28833,0.288333,0.248409,0.258607,6907125.9022624,0
POWR.V,D,20220612,000000,0.259204,0.274387,0.230574,0.241403,13056890.134754,0
POWR.V,D,20220613,000000,0.241201,0.241203,0.18742,0.200621,52655240.434907,0
POWR.V,D,20220614,000000,0.200319,0.203295,0.171542,0.188873,88731774.774593,0
POWR.V,D,20220615,000000,0.188477,0.206073,0.173288,0.205691,35573256.598828,0
POWR.V,D,20220616,000000,0.205391,0.227005,0.19938,0.211304,10646899.843533,0
POWR.V,D,20220617,000000,0.199323,0.2245,0.193431,0.213543,39136753.35624,0
POWR.V,D,20220618,000000,0.2137,0.2168,0.183232,0.192486,56376343.081369,0
POWR.V,D,20220619,000000,0.191988,0.207651,0.18693,0.205753,13580237.686387,0
POWR.V,D,20220620,000000,0.206232,0.210547,0.197643,0.205753,6388821.8732592,0
POWR.V,D,20220621,000000,0.206173,0.22482,0.205054,0.218959,8444386.2529609,0
POWR.V,D,20220622,000000,0.219081,0.237262,0.208291,0.214885,7637125.8133995,0
POWR.V,D,20220623,000000,0.215284,0.223077,0.212088,0.21928,2670036.062777,0
POWR.V,D,20220624,000000,0.219159,0.229918,0.218981,0.228419,22348000.792212,0
POWR.V,D,20220625,000000,0.228471,0.231638,0.220046,0.230239,14697470.768401,0
POWR.V,D,20220626,000000,0.230241,0.230889,0.222762,0.22616,6182682.8256404,0
POWR.V,D,20220627,000000,0.22437,0.265671,0.217969,0.228399,9363618.7409095,0
POWR.V,D,20220628,000000,0.228392,0.256454,0.226283,0.230625,10466774.164259,0
POWR.V,D,20220629,000000,0.230017,0.233011,0.218594,0.226423,4638824.0609642,0
POWR.V,D,20220630,000000,0.226028,0.290507,0.222628,0.238613,28408295.105554,0
POWR.V,D,20220701,000000,0.237615,0.243931,0.226206,0.230246,6613159.4426167,0
POWR.V,D,20220702,000000,0.230246,0.232344,0.218837,0.225229,3371681.0916373,0
POWR.V,D,20220703,000000,0.225429,0.226128,0.217239,0.221911,3057947.7455068,0
POWR.V,D,20220704,000000,0.222111,0.227926,0.216119,0.227427,1579767.4190509,0
POWR.V,D,20220705,000000,0.227527,0.236716,0.210768,0.223554,8500531.3950719,0
POWR.V,D,20220706,000000,0.223354,0.224653,0.21776,0.222832,2520714.478855,0
POWR.V,D,20220707,000000,0.222954,0.231261,0.220357,0.229062,1304109.553773,0
POWR.V,D,20220708,000000,0.229262,0.235259,0.225942,0.23276,2097995.4069633,0
POWR.V,D,20220709,000000,0.23256,0.246352,0.229862,0.244753,1927217.4193244,0
POWR.V,D,20220710,000000,0.244853,0.28253,0.237957,0.256446,11788989.94335,0
POWR.V,D,20220711,000000,0.254847,0.358849,0.237786,0.237786,34651016.942528,0
POWR.V,D,20220712,000000,0.237986,0.238185,0.223177,0.223376,2256879.4531883,0
POWR.V,D,20220713,000000,0.222786,0.226451,0.208391,0.2224,1839079.4199969,0
POWR.V,D,20220714,000000,0.2224,0.230692,0.214906,0.225764,1780164.6596399,0
POWR.V,D,20220715,000000,0.226264,0.231684,0.223366,0.229931,1344701.5851855,0
POWR.V,D,20220716,000000,0.229931,0.238452,0.228931,0.236329,2146889.4866143,0
POWR.V,D,20220717,000000,0.236439,0.240362,0.232254,0.235339,1374007.6172231,0
POWR.V,D,20220718,000000,0.235339,0.249745,0.230724,0.240745,2230758.0925835,0
POWR.V,D,20220719,000000,0.241245,0.256338,0.241032,0.255338,2365823.9182604,0
POWR.V,D,20220720,000000,0.2554,0.263753,0.244905,0.250113,2532973.7639399,0
POWR.V,D,20220721,000000,0.249612,0.25164,0.233612,0.245659,1599727.7724733,0
POWR.V,D,20220722,000000,0.245461,0.248647,0.237112,0.237752,1302718.6375627,0
POWR.V,D,20220723,000000,0.237855,0.247962,0.235421,0.237445,1236283.6324623,0
POWR.V,D,20220724,000000,0.237467,0.24621,0.234866,0.242739,1210047.3710227,0
POWR.V,D,20220725,000000,0.242839,0.244356,0.225755,0.229758,1654782.0863184,0
POWR.V,D,20220726,000000,0.229741,0.230315,0.21786,0.222833,1573058.3099036,0
POWR.V,D,20220727,000000,0.223201,0.235456,0.220347,0.234716,1682420.377921,0
POWR.V,D,20220728,000000,0.234696,0.246519,0.23285,0.244246,2064543.6975627,0
POWR.V,D,20220729,000000,0.244263,0.245829,0.236557,0.2435,2144117.3946615,0
POWR.V,D,20220730,000000,0.243497,0.252488,0.241384,0.245981,2646808.3814901,0
POWR.V,D,20220731,000000,0.245989,0.257051,0.241868,0.251158,4243622.8016484,0
POWR.V,D,20220801,000000,0.251475,0.27097,0.245989,0.260478,6535666.2937006,0
POWR.V,D,20220802,000000,0.260578,0.267402,0.240682,0.251643,3679387.1863089,0
POWR.V,D,20220803,000000,0.25155,0.252376,0.240943,0.251363,1344297.1967372,0
