<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONT.V,D,20220514,000000,0.269541,0.27014,0.237001,0.263331,5675161.4119377,0
ONT.V,D,20220515,000000,0.264429,0.283659,0.256814,0.283131,4126042.5663368,0
ONT.V,D,20220516,000000,0.283131,0.29974,0.264955,0.278238,8569585.7240255,0
ONT.V,D,20220517,000000,0.279736,0.289481,0.266553,0.284059,13048200.641938,0
ONT.V,D,20220518,000000,0.28423,0.291021,0.259662,0.263857,7107941.0824716,0
ONT.V,D,20220519,000000,0.264356,0.278122,0.248776,0.268731,6916305.1678928,0
ONT.V,D,20220520,000000,0.268858,0.2849,0.260361,0.262485,6138050.177693,0
ONT.V,D,20220521,000000,0.262585,0.279237,0.258364,0.26875,7486249.3069992,0
ONT.V,D,20220522,000000,0.26855,0.290122,0.268224,0.284558,6933896.0127148,0
ONT.V,D,20220523,000000,0.284358,0.306993,0.283288,0.290151,14199219.45758,0
ONT.V,D,20220524,000000,0.289952,0.289952,0.265281,0.28453,8083941.9110085,0
ONT.V,D,20220525,000000,0.285329,0.294176,0.28139,0.291079,6790431.8695541,0
ONT.V,D,20220526,000000,0.29115,0.293377,0.25422,0.26933,7895314.2642729,0
ONT.V,D,20220527,000000,0.26973,0.273027,0.254719,0.261338,8797828.2311669,0
ONT.V,D,20220528,000000,0.260503,0.269903,0.257749,0.265389,5640824.8193912,0
ONT.V,D,20220529,000000,0.265184,0.271509,0.259343,0.270202,4164848.0650703,0
ONT.V,D,20220530,000000,0.270796,0.291067,0.268815,0.288769,4521969.7392955,0
ONT.V,D,20220531,000000,0.289597,0.296463,0.279976,0.291267,5076741.5184304,0
ONT.V,D,20220601,000000,0.291766,0.302458,0.272627,0.275252,6297254.2555784,0
ONT.V,D,20220602,000000,0.274753,0.325507,0.273426,0.294035,24904412.538153,0
ONT.V,D,20220603,000000,0.294335,0.296033,0.274275,0.281855,5048332.5820044,0
ONT.V,D,20220604,000000,0.281755,0.282754,0.270726,0.279787,10266785.985987,0
ONT.V,D,20220605,000000,0.27959,0.301643,0.273681,0.295322,18479058.723677,0
ONT.V,D,20220606,000000,0.295622,0.353278,0.291526,0.312437,36537118.636676,0
ONT.V,D,20220607,000000,0.312537,0.314036,0.287758,0.309946,16296799.504555,0
ONT.V,D,20220608,000000,0.309452,0.314458,0.29251,0.300904,17479078.642768,0
ONT.V,D,20220609,000000,0.301004,0.306873,0.292383,0.299248,14087291.443083,0
ONT.V,D,20220610,000000,0.299345,0.300245,0.2725,0.278243,17245544.665496,0
ONT.V,D,20220611,000000,0.278643,0.282697,0.245193,0.253313,9988490.0849285,0
ONT.V,D,20220612,000000,0.253311,0.25631,0.229576,0.249193,10892835.954434,0
ONT.V,D,20220613,000000,0.247995,0.248194,0.203095,0.220593,38594788.334066,0
ONT.V,D,20220614,000000,0.220395,0.227354,0.203195,0.212345,65598977.184579,0
ONT.V,D,20220615,000000,0.211943,0.22735,0.196845,0.226859,66372856.333275,0
ONT.V,D,20220616,000000,0.226859,0.234142,0.211246,0.214721,26723285.19628,0
ONT.V,D,20220617,000000,0.210008,0.222883,0.207911,0.218238,58787247.033616,0
ONT.V,D,20220618,000000,0.218537,0.232718,0.190218,0.200475,60179127.091333,0
ONT.V,D,20220619,000000,0.200575,0.224031,0.197405,0.220513,19711359.516699,0
ONT.V,D,20220620,000000,0.220313,0.228126,0.212224,0.223054,8499475.8303797,0
ONT.V,D,20220621,000000,0.223054,0.240607,0.220257,0.231645,5927916.5212135,0
ONT.V,D,20220622,000000,0.231645,0.236863,0.221656,0.228072,6205005.4230387,0
ONT.V,D,20220623,000000,0.228172,0.240036,0.225574,0.236563,5240089.5987072,0
ONT.V,D,20220624,000000,0.236363,0.2504,0.236363,0.249605,17270035.507201,0
ONT.V,D,20220625,000000,0.24965,0.253307,0.235238,0.247427,13620166.935775,0
ONT.V,D,20220626,000000,0.247327,0.252226,0.237055,0.242852,9159942.7285248,0
ONT.V,D,20220627,000000,0.243152,0.254181,0.231561,0.248479,15699609.795924,0
ONT.V,D,20220628,000000,0.248581,0.256366,0.236157,0.241602,7529527.733466,0
ONT.V,D,20220629,000000,0.2414,0.2414,0.226001,0.234316,10173971.349769,0
ONT.V,D,20220630,000000,0.234318,0.235814,0.209527,0.216939,13638354.236866,0
ONT.V,D,20220701,000000,0.217139,0.243883,0.215541,0.240435,20831911.359878,0
ONT.V,D,20220702,000000,0.240335,0.242908,0.229624,0.239412,21729763.738651,0
ONT.V,D,20220703,000000,0.239412,0.244806,0.22828,0.235493,18207067.13613,0
ONT.V,D,20220704,000000,0.23517,0.241809,0.228303,0.240012,5317378.5121051,0
ONT.V,D,20220705,000000,0.239213,0.242908,0.227527,0.237538,6030565.9975853,0
ONT.V,D,20220706,000000,0.237638,0.238537,0.229847,0.234841,6148779.2525227,0
ONT.V,D,20220707,000000,0.234841,0.25045,0.234818,0.248251,6557441.969959,0
ONT.V,D,20220708,000000,0.248351,0.257719,0.24223,0.246152,6069580.1137993,0
ONT.V,D,20220709,000000,0.246352,0.28363,0.245528,0.262742,23384053.127214,0
ONT.V,D,20220710,000000,0.262642,0.263242,0.249825,0.254447,4970254.4475176,0
ONT.V,D,20220711,000000,0.253948,0.254247,0.235088,0.235688,4451978.7030909,0
ONT.V,D,20220712,000000,0.235588,0.235635,0.216483,0.216583,8741593.7943555,0
ONT.V,D,20220713,000000,0.21669,0.223776,0.206094,0.220202,13215829.530396,0
ONT.V,D,20220714,000000,0.220102,0.231238,0.216605,0.226364,11262099.450448,0
ONT.V,D,20220715,000000,0.226564,0.23396,0.225942,0.230831,8448882.1656216,0
ONT.V,D,20220716,000000,0.231231,0.238952,0.22581,0.23423,6881662.3125925,0
ONT.V,D,20220717,000000,0.234437,0.240645,0.228557,0.231837,5425736.0624645,0
ONT.V,D,20220718,000000,0.232237,0.24977,0.228729,0.242944,11279206.757097,0
ONT.V,D,20220719,000000,0.242942,0.258639,0.242681,0.257941,9388498.8441217,0
ONT.V,D,20220720,000000,0.2572,0.268908,0.24421,0.252313,16728171.9346,0
ONT.V,D,20220721,000000,0.252413,0.253105,0.239226,0.248362,9257845.7194482,0
ONT.V,D,20220722,000000,0.24816,0.260573,0.242749,0.245254,10845797.058774,0
ONT.V,D,20220723,000000,0.2455,0.255423,0.2393,0.243746,9564870.6182159,0
ONT.V,D,20220724,000000,0.243746,0.254248,0.243746,0.253948,9591246.8156181,0
ONT.V,D,20220725,000000,0.253848,0.255851,0.230625,0.236021,14216587.353495,0
ONT.V,D,20220726,000000,0.236021,0.236221,0.2212,0.225834,12363808.469435,0
ONT.V,D,20220727,000000,0.226,0.244061,0.225732,0.243859,7822835.0639283,0
ONT.V,D,20220728,000000,0.243756,0.286114,0.243561,0.275655,32579030.890502,0
ONT.V,D,20220729,000000,0.275872,0.308586,0.272652,0.283516,55976296.327967,0
ONT.V,D,20220730,000000,0.283016,0.289501,0.276397,0.277291,19867877.049391,0
ONT.V,D,20220731,000000,0.277183,0.28706,0.268475,0.277467,25915721.567784,0
ONT.V,D,20220801,000000,0.277183,0.281584,0.267407,0.279984,14725637.253806,0
ONT.V,D,20220802,000000,0.279684,0.285211,0.261081,0.268546,12695264.669896,0
ONT.V,D,20220803,000000,0.268851,0.280479,0.259768,0.277169,8950445.8900226,0
ONT.V,D,20220804,000000,0.277066,0.279464,0.267459,0.270008,7873657.732299,0
ONT.V,D,20220805,000000,0.270011,0.358936,0.268713,0.288655,80896907.702531,0
ONT.V,D,20220806,000000,0.288655,0.292959,0.286449,0.289867,6149088.2954466,0
ONT.V,D,20220807,000000,0.289764,0.292856,0.28117,0.291655,6983545.4112077,0
ONT.V,D,20220808,000000,0.291652,0.296571,0.286343,0.288535,8320326.5707591,0
ONT.V,D,20220809,000000,0.288335,0.29195,0.268059,0.272154,7947549.5844343,0
ONT.V,D,20220810,000000,0.272154,0.286769,0.265274,0.284983,9222932.6946076,0
ONT.V,D,20220811,000000,0.285085,0.323739,0.28448,0.293638,31328445.385268,0
ONT.V,D,20220812,000000,0.293538,0.297431,0.285114,0.294635,7970195.6843632,0
ONT.V,D,20220813,000000,0.295315,0.302748,0.293538,0.299517,5896439.6172108,0
