<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTHO.V,D,20220516,000000,0.00197443,0.00197443,0.00180583,0.00190352,88260609.795223,0
VTHO.V,D,20220517,000000,0.00190652,0.00200959,0.0018466,0.00200959,41273877.192159,0
VTHO.V,D,20220518,000000,0.00200938,0.00204734,0.00179067,0.0018426,60094055.699923,0
VTHO.V,D,20220519,000000,0.00184142,0.00194924,0.00174972,0.00189111,75766691.926222,0
VTHO.V,D,20220520,000000,0.00187032,0.00274642,0.00186214,0.0023282,3765116710.0573,0
VTHO.V,D,20220521,000000,0.0023322,0.0024151,0.00198921,0.00206132,1071282506.9578,0
VTHO.V,D,20220522,000000,0.00206931,0.00213643,0.00201358,0.00203655,223898803.36916,0
VTHO.V,D,20220523,000000,0.00203456,0.00219758,0.00197163,0.00200759,213803605.34944,0
VTHO.V,D,20220524,000000,0.0019986,0.00206173,0.00181282,0.0019994,157425961.686,0
VTHO.V,D,20220525,000000,0.0019952,0.00204055,0.00192088,0.00195285,85102370.565343,0
VTHO.V,D,20220526,000000,0.00194785,0.00206273,0.00178985,0.00188411,164705996.06511,0
VTHO.V,D,20220527,000000,0.00188511,0.00192188,0.00180419,0.00184515,70415112.686302,0
VTHO.V,D,20220528,000000,0.0018399,0.00188696,0.00180574,0.00186983,26083436.888971,0
VTHO.V,D,20220529,000000,0.00185879,0.00190901,0.00182521,0.00189799,30015336.807991,0
VTHO.V,D,20220530,000000,0.00189789,0.00209553,0.00188504,0.00206755,124344525.44634,0
VTHO.V,D,20220531,000000,0.00205456,0.00208654,0.0019926,0.00203337,63404390.106256,0
VTHO.V,D,20220601,000000,0.00204453,0.00208612,0.0018923,0.00191028,65438918.155402,0
VTHO.V,D,20220602,000000,0.00189929,0.00201618,0.0018923,0.00198122,55677159.630945,0
VTHO.V,D,20220603,000000,0.00198022,0.00201545,0.00185597,0.00189935,76051025.099499,0
VTHO.V,D,20220604,000000,0.00189735,0.00209832,0.00182706,0.00189756,750727988.18616,0
VTHO.V,D,20220605,000000,0.00189756,0.00191727,0.0018495,0.00189821,604050780.89403,0
VTHO.V,D,20220606,000000,0.00190721,0.00199838,0.00189028,0.00193737,1346937806.2221,0
VTHO.V,D,20220607,000000,0.00193737,0.00194139,0.00183057,0.0019214,858362509.36686,0
VTHO.V,D,20220608,000000,0.0019214,0.00193153,0.00183682,0.0018708,449157339.94137,0
VTHO.V,D,20220609,000000,0.00187678,0.00264567,0.00182657,0.00200631,1618200816.2049,0
VTHO.V,D,20220610,000000,0.0020023,0.0022361,0.00186004,0.0019195,1012320823.4353,0
VTHO.V,D,20220611,000000,0.00191457,0.0019249,0.00171291,0.00178594,225512013.45748,0
VTHO.V,D,20220612,000000,0.00180396,0.00180396,0.00158678,0.00166695,285221628.87948,0
VTHO.V,D,20220613,000000,0.00164995,0.00170189,0.00144982,0.00150291,1142847398.5609,0
VTHO.V,D,20220614,000000,0.00150292,0.00159798,0.00140196,0.00150819,2090314530.0977,0
VTHO.V,D,20220615,000000,0.00150917,0.00157227,0.00138919,0.00157064,826437098.57647,0
VTHO.V,D,20220616,000000,0.00156465,0.00157595,0.00143442,0.00146694,117241982.27658,0
VTHO.V,D,20220617,000000,0.00142703,0.00149292,0.00140902,0.00147624,364719778.54872,0
VTHO.V,D,20220618,000000,0.00145527,0.00148724,0.00122119,0.00130287,1751289426.9943,0
VTHO.V,D,20220619,000000,0.00130289,0.00144526,0.00126018,0.0014123,729443732.57991,0
VTHO.V,D,20220620,000000,0.00140431,0.00151034,0.00136023,0.00144341,362421450.75547,0
VTHO.V,D,20220621,000000,0.00143941,0.00159141,0.00142343,0.00151333,159020546.60253,0
VTHO.V,D,20220622,000000,0.00151933,0.00157542,0.0014484,0.00146853,247229387.69011,0
VTHO.V,D,20220623,000000,0.00147053,0.00152547,0.00146653,0.00150549,68679001.14758,0
VTHO.V,D,20220624,000000,0.00151049,0.00171266,0.0015015,0.00161774,695818468.49333,0
VTHO.V,D,20220625,000000,0.00162337,0.00174276,0.00157274,0.00169781,379807865.35035,0
VTHO.V,D,20220626,000000,0.00170577,0.00177877,0.00162103,0.00162299,133947185.6215,0
VTHO.V,D,20220627,000000,0.00162104,0.00167095,0.00157605,0.00160056,101630006.14549,0
VTHO.V,D,20220628,000000,0.00160758,0.00168748,0.00157814,0.00158903,104887511.69085,0
VTHO.V,D,20220629,000000,0.00158305,0.00158305,0.001447,0.00147822,100894895.87795,0
VTHO.V,D,20220630,000000,0.00147922,0.00147922,0.00135628,0.00140132,158331982.00253,0
VTHO.V,D,20220701,000000,0.00139532,0.00149935,0.00138633,0.00142843,90595568.548147,0
VTHO.V,D,20220702,000000,0.00142943,0.00143442,0.00138048,0.00140431,86823382.155747,0
VTHO.V,D,20220703,000000,0.00140931,0.00142614,0.00138106,0.00140617,66809103.514966,0
VTHO.V,D,20220704,000000,0.00140217,0.00144027,0.00138306,0.00142729,43755722.268895,0
VTHO.V,D,20220705,000000,0.00142529,0.00148422,0.00132055,0.00137549,112216868.25897,0
VTHO.V,D,20220706,000000,0.00138348,0.00143642,0.00136037,0.00141344,60482299.398043,0
VTHO.V,D,20220707,000000,0.00141145,0.00206872,0.00141045,0.00162902,1949690176.565,0
VTHO.V,D,20220708,000000,0.00163102,0.00174843,0.0015071,0.00153408,252194259.83022,0
VTHO.V,D,20220709,000000,0.00152808,0.00162103,0.00152793,0.00155407,71981313.112911,0
VTHO.V,D,20220710,000000,0.00155607,0.0015769,0.00147896,0.00148711,51588947.615917,0
VTHO.V,D,20220711,000000,0.00148211,0.0014978,0.00141473,0.00141473,74067118.091356,0
VTHO.V,D,20220712,000000,0.00140773,0.00152048,0.00137362,0.00148751,268832491.19958,0
